utterance_id	src_file_id	nth	speaker	utterance	speech_act	has_typos	difficult	duplicate	span_id	span_utterance_id	span_start	span_length	span_text	span_type	span_flag	importance_abs	importance_abs_2	importance_abs_3	importance2_abs	importance2_abs_2	importance2_abs_3	sub_span_id	sub_span_utterance_id	sub_span_start	sub_span_length	sub_span_text	negation	memo	demon_span_id	demon_span_utterance_id	demon_span_start	demon_span_length	demon_span_text
5766	106	1	agent	この度はご利用いただきまして、ありがとうございます。		0	0	0																									
5767	106	2	agent	お客様のお宿探しのお手伝いをいたします。		0	0	0																									
5768	106	3	agent	お客様のご希望をお聞かせいただけますでしょうか？		0	0	0																									
5769	106	4	user	１０月中旬に山梨へ旅行へ行こうと考えています。	要求	0	0	0	2963	5769	0	5	１０月中旬	スケジュール	SCSE:時期	2_neutral	2_neutral	2_neutral	2_neutral	1_weak	3_strong						0						
5769	106	4	user	１０月中旬に山梨へ旅行へ行こうと考えています。	要求	0	0	0	2964	5769	6	2	山梨	旅行	RYAR:旅行エリア	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
5770	106	5	user	ペットが泊まれる宿を探しています。	要求	0	0	0	2965	5770	0	8	ペットが泊まれる	宿	YAEN:宿環境	2_neutral	2_neutral	2_neutral	3_strong	2_neutral	3_strong						0						
5771	106	6	agent	かしこまりました。		0	0	0																									
5772	106	7	agent	何名様でのご宿泊でしょうか？		0	0	0																									
5773	106	8	user	はい、大人１名、子ども３名になります。	要求	0	0	0	2966	5773	5	2	１名	人数	NIOT:大人人数	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
5773	106	8	user	はい、大人１名、子ども３名になります。	要求	0	0	0	2967	5773	11	2	３名	人数	NIKO:子供人数	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
5774	106	9	agent	承知しました。		0	0	0																									
5775	106	10	agent	何泊なさいますか？		0	0	0																									
5776	106	11	user	２泊を予定しています。	要求	0	0	0	2968	5776	0	2	２泊	スケジュール	SCNU:宿泊数	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
5777	106	12	agent	かしこまりました。		0	0	0																									
5778	106	13	agent	山梨のどちらかご希望はございますでしょうか？		0	0	0																									
5779	106	14	user	場所の指定はありませんが、１０月なので果物狩り等できるような地域が望ましいです。	要求	0	0	0	2969	5779	13	3	１０月	スケジュール	SCSE:時期	1_weak	2_neutral	2_neutral		3_strong	3_strong						0						
5779	106	14	user	場所の指定はありませんが、１０月なので果物狩り等できるような地域が望ましいです。	要求	0	0	0	2970	5779	19	4	果物狩り	立地	RIAC:立地 (アクティビティ)	1_weak	2_neutral	2_neutral		2_neutral	2_neutral						0						
5780	106	15	agent	かしこまりました。		0	0	0																									
5781	106	16	agent	それでは、勝沼ぶどう郷の周辺はいかがでしょうか？		0	0	0																									
5782	106	17	user	確認しました。	伝達	0	0	0																									
5783	106	18	user	いいですね！	はい	0	0	0																									
5784	106	19	agent	ありがとうございます。		0	0	0																									
5785	106	20	agent	では、果物狩り付きのプランがあるお宿をお探ししましょうか？		0	0	0																									
5786	106	21	user	はい、お願いします。	はい	0	0	0																									
5787	106	22	user	できればペットと一緒に泊まれる条件でお願いします。	要求	0	0	0	2971	5787	4	11	ペットと一緒に泊まれる	宿	YAEN:宿環境	1_weak	1_weak	1_weak									0						
5788	106	23	agent	かしこまりました。		0	0	0																									
5789	106	24	agent	では、まわりを気にせずペットとお泊りいただけるよう、１棟貸しのコテージはいかがでしょうか？		0	0	0																									
5790	106	25	agent	鳴き声なども気にせずに、ごゆっくりできるかと思います。		0	0	0																									
5791	106	26	user	そうですね、それですと安心です。	はい	0	0	0																									
5792	106	27	agent	ありがとうございます。		0	0	0																									
5793	106	28	agent	お食事はいかがなさいますか？		0	0	0																									
5794	106	29	agent	コテージですとキッチンがございますので、ご自身でもお作りになれますが、お宿のほうでご用意することもできます。		0	0	0																									
5795	106	30	user	では、せっかくなのでこちらのキッチンを利用したいと思います。	照応要求	0	0	0	2972	5794	7	4	キッチン	部屋	HESE:部屋設備	2_neutral	2_neutral	2_neutral	2_neutral	2_neutral	2_neutral						0		198	5795	10	8	こちらのキッチン
5796	106	31	user	調理器具等は持参する必要がありますか？	確認	0	0	0																									
5797	106	32	agent	いえ、貸出サービスのあるお宿もございます。		0	0	0																									
5798	106	33	agent	そちらのほうがよろしいでしょうか？		0	0	0																									
5799	106	34	user	そうですね、貸し出していただけると助かります。	はい	0	0	0																				＃「調理器具」ターン外					
5800	106	35	user	なのでそちらでお願いします。	その他	0	0	0																									
5801	106	36	agent	かしこまりました。		0	0	0																									
5802	106	37	agent	では、調理器具の貸出サービスのあるお宿をお探ししましょう。		0	0	0																									
5803	106	38	agent	ご自身でお作りになるようでしたら、近くにスーパーのあるお宿が便利かと思います。		0	0	0																									
5804	106	39	agent	いかがでしょうか？		0	0	0																									
5805	106	40	user	はい、そちらでお願いします。	はい	0	0	0																									
5806	106	41	user	果物狩りなどで採取したものも使用出来たらと思いますので、冷蔵庫の設備があると嬉しいです。	要求	0	0	0	2974	5806	28	3	冷蔵庫	部屋	HESE:部屋設備	1_weak	2_neutral	1_weak		2_neutral	2_neutral						0						
5807	106	42	agent	ありがとうございます。		0	0	0																									
5808	106	43	agent	かしこまりました。		0	0	0																									
5809	106	44	agent	では、コテージ内に冷蔵庫のあるお宿をお調べします。		0	0	0																									
5810	106	45	agent	１０月のご旅行ですので、紅葉が大変きれいかと思います。		0	0	0																									
5811	106	46	agent	紅葉に彩られた山を眺められるマウンテンビューのお宿はいかがでしょうか？		0	0	0																									
5812	106	47	user	いいですね！	伝達	0	0	0																									
5813	106	48	user	それを希望します。	はい	0	0	0																									
5814	106	49	agent	ありがとうございます。		0	0	0																									
5815	106	50	agent	ほかにご希望はございますでしょうか？		0	0	0																									
5816	106	51	user	こちらの条件で大丈夫です。	いいえ	0	0	0																									
5817	106	52	agent	ご希望をお聞かせくださり、ありがとうございました。		0	0	0																									
5818	106	53	agent	それでは以下の条件でお調べしますので、よろしくお願いいたします。		0	0	0																									
5819	106	54	agent	・日付は１０月中旬。		0	0	0																									
5820	106	55	agent	・宿泊日数は２泊。		0	0	0																									
5821	106	56	agent	・宿泊地は山梨県の勝沼ぶどう郷の周辺。		0	0	0																									
5822	106	57	agent	・人数は大人１名、子供３名。		0	0	0																									
5823	106	58	agent	・ペットが泊まれる宿を希望。		0	0	0																									
5824	106	59	agent	・宿タイプは１棟貸しのコテージを希望。		0	0	0																									
5825	106	60	agent	・果物狩り付きのプランがある宿を希望。		0	0	0																									
5826	106	61	agent	・調理器具の貸出サービスのある宿を希望。		0	0	0																									
5827	106	62	agent	・近くにスーパーのある宿を希望。		0	0	0																									
5828	106	63	agent	・コテージ内に冷蔵庫のある宿を希望。		0	0	0																									
5829	106	64	agent	・マウンテンビューの宿を希望。		0	0	0																									
