utterance_id	src_file_id	nth	speaker	utterance	speech_act	has_typos	difficult	duplicate	span_id	span_utterance_id	span_start	span_length	span_text	span_type	span_flag	importance_abs	importance_abs_2	importance_abs_3	importance2_abs	importance2_abs_2	importance2_abs_3	sub_span_id	sub_span_utterance_id	sub_span_start	sub_span_length	sub_span_text	negation	memo	demon_span_id	demon_span_utterance_id	demon_span_start	demon_span_length	demon_span_text
2054	40	1	agent	いらっしゃいませ。		0	0	0																									
2055	40	2	agent	ご利用ありがとうございます。		0	0	0																									
2056	40	3	agent	ご宿泊先をお探しいたします。		0	0	0																									
2057	40	4	agent	どのような条件をご希望でしょうか？		0	0	0																									
2058	40	5	user	外国人と私を入れて大人４人で泊まれるところを探しています。	要求	0	0	0	1100	2058	0	3	外国人	旅行	RYSC:旅行シーン	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
2058	40	5	user	外国人と私を入れて大人４人で泊まれるところを探しています。	要求	0	0	0	1101	2058	11	2	４人	人数	NIOT:大人人数	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
2059	40	6	user	日本ぽさが感じられるところが良いのですが。	要求	0	0	0	1102	2059	0	10	日本ぽさが感じられる	宿	YAEN:宿環境	2_neutral	2_neutral	2_neutral	1_weak	2_neutral	2_neutral						0						
2060	40	7	agent	かしこまりました。		0	0	0																									
2061	40	8	agent	それでは、お宿のタイプは旅館がよろしいでしょうか？		0	0	0																									
2062	40	9	user	純日本風の、旅館が良いです。	要求	0	0	0	1104	2062	0	4	純日本風	宿	YAEN:宿環境	2_neutral	2_neutral	2_neutral	1_weak	2_neutral	2_neutral						0						
2062	40	9	user	純日本風の、旅館が良いです。	要求	0	0	0	1105	2062	6	2	旅館	宿	YATY:宿タイプ	2_neutral	2_neutral	2_neutral	2_neutral	2_neutral	2_neutral						0						
2063	40	10	agent	かしこまりました。		0	0	0																									
2064	40	11	agent	ご宿泊されるお日付と宿泊日数はお決まりでしょうか？		0	0	0																									
2065	40	12	user	１月１９日から２泊でお願いします。	要求	0	0	0	1107	2065	0	7	１月１９日から	スケジュール	SCDA:宿泊日	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
2065	40	12	user	１月１９日から２泊でお願いします。	要求	0	0	0	1109	2065	7	2	２泊	スケジュール	SCNU:宿泊数	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
2066	40	13	agent	承知しました。		0	0	0																									
2067	40	14	agent	どちらにお泊りになるか、地域などはご検討されてますでしょうか？		0	0	0																									
2068	40	15	user	福井です。	要求	0	0	0	1111	2068	0	2	福井	旅行	RYAR:旅行エリア	2_neutral	2_neutral	2_neutral	3_strong	3_strong	3_strong						0						
2069	40	16	agent	かしこまりました。		0	0	0																									
2070	40	17	agent	皆さま同じお部屋でお休みになりますか？		0	0	0																									
2071	40	18	user	はい、大人４人で一部屋が希望です。	はい	0	0	0																									
2072	40	19	agent	承知しました。		0	0	0																									
2073	40	20	agent	日本らしさが感じられるところが良いとのことでしたが、お食事はいかがなさいますか？		0	0	0																									
2074	40	21	agent	和食がよろしいでしょうか？		0	0	0																									
2075	40	22	agent	それとも、お食事は洋食がよろしいでしょうか？		0	0	0																									
2076	40	23	user	和食を希望します。	照応要求	0	0	0	1112	2074	0	2	和食	食事	SYNA:食事内容	2_neutral	2_neutral	2_neutral	2_neutral	2_neutral	3_strong						0		122	2076	0	2	和食
2077	40	24	user	できれば部屋で食べたいのですが。	要求	0	0	0	1115	2077	4	7	部屋で食べたい	食事	SYUM:食事有無	1_weak	1_weak	1_weak									0						
2078	40	25	agent	かしこまりました。		0	0	0																									
2079	40	26	agent	それでは和食で、部屋出しのできるお宿をお調べいたします。		0	0	0																									
2080	40	27	agent	同じく日本らしいものといえば温泉がございますが、こちらはいかがでしょうか？		0	0	0																									
2081	40	28	user	露天風呂があるところを探していただけますか？	要求	0	0	0	1116	2081	0	4	露天風呂	風呂	FUTY:風呂種類	2_neutral	1_weak	1_weak	2_neutral								0						
2082	40	29	agent	かしこまりました。		0	0	0																									
2083	40	30	agent	露天風呂はお宿の公共のものでよろしいでしょうか？		0	0	0																									
2084	40	31	agent	それとも、客室内の露天風呂がよろしいでしょうか？		0	0	0																									
