operator_2	本日はご利用いただきまして、ありがとうございます。│ご宿泊のご相談を承ります。▁│お泊りになる地域、お日付、人数がお決まりでしたら、お聞かせいただけますでしょうか。
customer_31	来月の8日から4泊で小学校6年生の息子と山口県に旅行に行こうと思っています
operator_2	かしこまりました。│その条件でお探ししますね。│ご予算はどのくらいでお考えでしょうか?
customer_31	1泊1万円くらいです
operator_2	1泊1万円ほどですね。│かしこまりました。│シーズンが夏ですが、海水浴のご予定はございますでしょうか?
customer_31	マストではないです。│山口は初めてで、レンタカーで鍾乳洞だとか歴史的な場所だとか山口ならではのところに連れていってあげたいんです
operator_2	かしこまりました。│レンタカーでご観光でしたら、レンタカーの貸し出しがあるホテルでお探ししてよろしいでしょうか?
customer_31	割引になるとかでしたらそれもありですが、レンタカーだけでも予約はできるので必須条件ではないですね
operator_2	そうしましたら、その割引もあるホテルも条件でお探ししますね。│お部屋のタイプはいかがなさいましょうか?│和、洋、離れがございます。
customer_31	離れは高そうですよね。│和か洋でお願いします
operator_2	和か洋ですね。│かしこまりました。│他にご要望はございますか?
customer_31	ないです
operator_2	かしこまりました。│それでは、以下のご希望条件に合うお宿をお探しいたします。
operator_2	・行先は山口県▁│・8月8日から4泊▁│・人数は大人1人、子供1人▁│・予算は1泊1万円ほど▁│・レンタカーの貸し出しで割引がある▁│・お部屋は和室か、洋室
