utterance_id	src_file_id	nth	speaker	utterance	speech_act	has_typos	difficult	duplicate	memo
422	9	1	agent	本日のご利用、誠にありがとうございます。		0	0	0	
423	9	2	agent	ご宿泊先をお探しでしょうか。		0	0	0	
424	9	3	agent	地域、お日付、人数などお決まりでしたら、お聞かせいただけますでしょうか。		0	0	0	
425	9	4	user	大人４人で、四国地方に旅行に行こうと思っています。	要求	0	0	0	
426	9	5	user	２月１９日から、２泊の予定です。	要求	0	0	0	
427	9	6	agent	かしこまりました。		0	0	0	
428	9	7	agent	四国へのご旅行とのことですが、どちらの町か、具体的にお決まりでしょうか？		0	0	0	
429	9	8	user	旅行に行くのは私たち夫婦と私の両親なんです。	要求	0	0	0	
430	9	9	user	四国に行きたいと言っているのは両親で、実は私は四国地方に全然詳しくなくて。	伝達	0	0	0	
431	9	10	user	どこに行けばいいのか具体的に決められないんです。	伝達	0	0	0	
432	9	11	agent	さようでございますか。		0	0	0	
433	9	12	agent	それでは、ご両親がご一緒とのことですので、道後温泉のある松山はいかがでしょうか？		0	0	0	
434	9	13	user	温泉は全員が好きなので、みんな賛成してくれそうです。	感想	0	0	0	
435	9	14	user	温泉のほかに楽しめるものはありますか？	確認	0	0	0	
436	9	15	agent	はい、道後温泉の周辺は、ゆったりとお散歩もお楽しみいただけますので、２泊でのご旅行にぴったりではないでしょうか。		0	0	0	
437	9	16	agent	お食事はいかがでしょうか？		0	0	0	
438	9	17	agent	愛媛ですと、瀬戸内海の魚介を使った料理をお召し上がりいただけます。		0	0	0	
439	9	18	user	素敵ですね。	伝達	0	0	0	
440	9	19	user	両親をゆっくりさせてあげるのが目標なので、食事のクオリティにもこだわりたいです。	要求	0	0	0	
441	9	20	user	食事で有名な宿がいいです。	要求	0	0	0	
442	9	21	agent	かしこまりました。		0	0	0	
443	9	22	agent	お宿のタイプは温泉付きの旅館でよろしいでしょうか？		0	0	0	
444	9	23	user	はい。	はい	0	0	0	
445	9	24	user	母が足が少し悪いので、できればバリアフリーの宿をお願いします。	要求	0	0	0	
446	9	25	agent	かしこまりました。		0	0	0	
447	9	26	agent	バリアフリー対応のお宿をお調べいたします。		0	0	0	
448	9	27	agent	お部屋は皆さまご一緒に１部屋でよろしいでしょうか？		0	0	0	
449	9	28	agent	それとも２部屋になさいますか？		0	0	0	
450	9	29	user	２部屋でお願いします。	照応要求	0	0	0	
451	9	30	user	母が何回も大浴場に行くのは大変だと思いますので、両親の部屋は温泉付きの部屋にしていただけますか。	要求	0	0	0	
452	9	31	agent	かしこまりました。		0	0	0	
453	9	32	agent	それでは、１部屋は温泉付きの客室をお調べいたします。		0	0	0	
454	9	33	agent	他にご希望はございますでしょうか？		0	0	0	
455	9	34	user	道後温泉には、ホテルはあるのでしょうか？	要求	0	0	0	
456	9	35	agent	ホテルもございます。		0	0	0	
457	9	36	user	和室は足の悪い人には大変なので、ホテルで探していただけますか。	要求	0	0	0	
458	9	37	agent	かしこまりました。		0	0	0	
459	9	38	agent	温泉付きのホテルでお探しいたします。		0	0	0	
460	9	39	agent	それでは、以下の条件でお調べいたしますので、よろしくお願いいたします。		0	0	0	
461	9	40	agent	・日付は２月１９日。		0	0	0	
462	9	41	agent	・宿泊日数は２泊。		0	0	0	
463	9	42	agent	・場所は愛媛県松山市。		0	0	0	
464	9	43	agent	・人数は大人４名。		0	0	0	
465	9	44	agent	・部屋数は２部屋。		0	0	0	
466	9	45	agent	・宿のタイプは温泉付きのホテルを希望。		0	0	0	
467	9	46	agent	・バリアフリー対応の宿を希望。		0	0	0	
468	9	47	agent	・１部屋のみ温泉付きの客室を希望。		0	0	0	
469	9	48	agent	・食事で有名な宿を希望。		0	0	0	
